100,Dranyen,6 strings 3 courses,Bhutan and Tibet,A3:A3:D3:D3:G3:G3
101,Dranyen,7 strings 3 courses,Bhutan and Tibet,A3:A3:D4:D3:D3:G3:G3
102,Erhu,2 strings 2 courses,China,D4:A4
103,Fiddle,4 strings 4 courses,Europe - USA,G3:D4:A4:E5
104,Gadulka,3 strings 3 courses,The Balkans,A3:E3:A4
105,Gaoyinruan,4 strings 4 courses,China,G3:D4:G4:D5
106,Gehu,4 strings 4 courses,China,C2:G2:D3:A3
107,Gekkin,4 strings 4 courses,Japan,A3:D4:D4:D5
108,Geyerleier,8 strings 4 courses,Hamburg - Germany,E3:E2:B3:B2:E3:E3:B3:B3
109,Grajappi,4 strings 2 courses,Thailand,F2:F2:B2:B2
110,Guitalele,6 strings 6 courses,US - Japan,A2:D3:G3:C4:E4:A4
111,Guitar,6 strings 6 courses,Spain (acoustic) USA (electric),E2:A2:D3:G3:B3:E4
112,Guitar - 10 string,10 strings 10 courses,Spain,C2:E2:A2:D3:G3:B3:E4
113,Guitar - 12 string,12 strings 6 courses,US?,E3:E2:A3:A2:D4:D3:G4:G3:B3:B3:E4:E4
114,Guitar - 7 string,7 strings 7 courses,US,B1:E2:A2:D3:G3:B3:E4
115,Guitar - 8 string (low/high),8 strings 8 courses,Spain,B1:E2:A2:D3:G3:B3:E4:A4
116,Guitar - 9 string,9 strings 6 courses,US,E2:A2:D3:G4:G3:B3:B3:E4:E4
117,Guitar - 9 string,9 strings 6 courses,US,E3:E2:A3:A2:D4:D3:G3:B3:E4
118,Guitar - Alto (Niibori),6 strings 6 courses,Japan,B2:E3:A3:D4
119,Guitar - bass,4 strings 4 courses,USA,E1:A1:D2:G2
120,Guitar - bass (12-string),12 strings 4 courses,US,E2:E2:E1:A2:A2:A1:D3:D3:D2:G3:G3:G2
121,Guitar - bass (5-string),5 strings 5 courses,,B0:E1:A1:D2:G2:E1:A1:D2:G2
122,Guitar - bass (6-string),6 strings 6 courses,,B0:E1:A1:D2:G2:C3
123,Guitar - bass (8-string),8 strings 4 courses,US,E2:E1:A2:A1:D3:D2:G3:G2
124,Guitar - octave,6 strings 6 courses,Germany,E3:A3:D4:G4:B4:E5
125,Guitar - tenor,4 strings 4 courses,US,C3:G3:D4:A4
126,Guitarra De Golpe,5 strings 5 courses,Mexico,D3:G3:C4:E3:A3
127,Guitarro,6 strings 6 courses,Spain,B4:D5:A5:E5
128,Guitarrón,6 strings 6 courses,Mexico,A1:D2:G2:C3:E3:A2
129,Guitarron Argentino,6 strings 6courses,Argentina,B1:E2:A2:D3:G3:B3
130,Gusli,9 strings 9 courses,Russia,E3:A3:B3:C4:D4:E4:F4:G4
131,Halszither,9 strings 5 courses,Switzerland,G2:D3:D3:G3:G3:B3:B3:D4:D4
132,Hardingfele,4 strings 4 courses plus 4-5 resonating strings,Norway,A3:D4:A4:E5
133,Huapanguera,8 strings 5 courses,Mexico,G2:D3:D4:G3:G3:B3:B3:E3
134,Huobosi,4 strings 4 courses,China,E2:A2:D3:G3
135,Irish bouzouki,8 strings 4 courses,Ireland,G3:G2:D4:D3:A3:A3:E4:E4
136,Jarana huasteca,5 strings 5 courses,Mexico,G3:B3:D4:A4
137,Jarana Jarocha Requinto,4 strings 4 courses,Mexico,G2:A2:D2:G3
